,type,lon,lat
0,European restuarant,2.332,48.864
1,Traditional French restaurant,2.332,48.865
2,Traditional French restaurant,2.333,48.866
3,Indian / Middle Eastern restaurant,2.333,48.866
4,Traditional French restaurant,2.332,48.866
5,European restuarant,2.331,48.866
6,Asian restaurant,2.333,48.868
7,Asian restaurant,2.332,48.867
8,Asian restaurant,2.329,48.866
9,Asian restaurant,2.329,48.866
10,Traditional French restaurant,2.327,48.866
11,Traditional French restaurant,2.325,48.867
12,Asian restaurant,2.358,48.828
13,Asian restaurant,2.358,48.828
14,Asian restaurant,2.36,48.826
15,Asian restaurant,2.359,48.827
16,Asian restaurant,2.362,48.823
17,Asian restaurant,2.361,48.822
18,Asian restaurant,2.363,48.822
19,Asian restaurant,2.361,48.822
20,Asian restaurant,2.361,48.819
21,Asian restaurant,2.364,48.821
22,Traditional French restaurant,2.38,48.859
23,European restuarant,2.384,48.862
24,Indian / Middle Eastern restaurant,2.339,48.851
25,Traditional French restaurant,2.339,48.85
26,Traditional French restaurant,2.338,48.852
27,Traditional French restaurant,2.336,48.852
28,European restuarant,2.336,48.852
29,Traditional French restaurant,2.336,48.852
30,European restuarant,2.336,48.853
31,Traditional French restaurant,2.336,48.853
32,Traditional French restaurant,2.334,48.852
33,Traditional French restaurant,2.334,48.852
34,European restuarant,2.335,48.852
35,European restuarant,2.334,48.852
36,Traditional French restaurant,2.335,48.849
37,Traditional French restaurant,2.335,48.849
38,European restuarant,2.291,48.853
39,Asian restaurant,2.289,48.852
40,Asian restaurant,2.292,48.851
41,European restuarant,2.292,48.851
42,European restuarant,2.292,48.85
43,European restuarant,2.315,48.844
44,Asian restaurant,2.303,48.847
45,Traditional French restaurant,2.302,48.848
46,Asian restaurant,2.302,48.846
47,Traditional French restaurant,2.304,48.847
48,Indian / Middle Eastern restaurant,2.305,48.847
49,Traditional French restaurant,2.305,48.847
50,Traditional French restaurant,2.304,48.848
51,Traditional French restaurant,2.329,48.87
52,Traditional French restaurant,2.329,48.869
53,Asian restaurant,2.333,48.869
54,European restuarant,2.332,48.869
55,Traditional French restaurant,2.334,48.869
56,Indian / Middle Eastern restaurant,2.334,48.869
57,Asian restaurant,2.335,48.869
58,Asian restaurant,2.335,48.869
59,Asian restaurant,2.335,48.871
60,Indian / Middle Eastern restaurant,2.335,48.871
61,Asian restaurant,2.335,48.87
62,Traditional French restaurant,2.347,48.823
63,Asian restaurant,2.351,48.824
64,Traditional French restaurant,2.355,48.824
65,Traditional French restaurant,2.358,48.822
66,Asian restaurant,2.348,48.826
67,Central and South American restuarant,2.385,48.862
68,Traditional French restaurant,2.385,48.858
69,European restuarant,2.385,48.857
70,Asian restaurant,2.388,48.855
71,Traditional French restaurant,2.388,48.856
72,Asian restaurant,2.381,48.857
73,Traditional French restaurant,2.354,48.846
74,European restuarant,2.362,48.841
75,Traditional French restaurant,2.303,48.849
